20150303104702671 |R-192.168.100.13:38663 |Access:36                  |I| Closed client /192.168.100.13:38663
20150303104710365 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:45701 connected
20150303105013598 |R-192.168.100.13:45701 |Access:36                  |I| Closed client /192.168.100.13:45701
20150303105021745 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:34849 connected
20150303105225824 |R-192.168.100.13:34849 |Access:36                  |I| Closed client /192.168.100.13:34849
20150303105232879 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:37982 connected
20150303105257161 |R-192.168.100.12:51096 |Access:36                  |I| Closed client /192.168.100.12:51096
20150303105300203 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:52251 connected
20150303105421720 |R-192.168.100.13:37982 |Access:36                  |I| Closed client /192.168.100.13:37982
20150303105439424 |R-192.168.100.12:52251 |Access:36                  |I| Closed client /192.168.100.12:52251
20150303105442128 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:52293 connected
20150303105511507 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:37523 connected
20150303110202237 |R-192.168.100.13:37523 |Access:36                  |I| Closed client /192.168.100.13:37523
20150303110209334 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:42873 connected
20150303110454817 |R-192.168.100.13:42873 |Access:36                  |I| Closed client /192.168.100.13:42873
20150303110501927 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:35505 connected
20150303110515845 |R-192.168.100.13:35505 |Access:36                  |I| Closed client /192.168.100.13:35505
20150303110522110 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:60180 connected
20150303110541572 |R-192.168.100.13:60180 |Access:36                  |I| Closed client /192.168.100.13:60180
20150303110549556 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:43745 connected
20150303111247834 |R-192.168.100.12:52293 |Access:36                  |I| Closed client /192.168.100.12:52293
20150303111250567 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:52918 connected
20150303111406445 |R-192.168.100.13:43745 |Access:36                  |I| Closed client /192.168.100.13:43745
20150303111409402 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:45654 connected
20150303111409677 |R-192.168.100.13:45654 |Access:36                  |I| Closed client /192.168.100.13:45654
20150303111417042 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:49425 connected
20150303111734208 |R-192.168.100.13:49425 |Access:36                  |I| Closed client /192.168.100.13:49425
20150303111746677 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:44731 connected
20150303111752110 |R-192.168.100.12:52918 |Access:36                  |I| Closed client /192.168.100.12:52918
20150303111823972 |R-192.168.100.13:44731 |Access:36                  |I| Closed client /192.168.100.13:44731
20150303111831592 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:55027 connected
20150303112343342 |R-192.168.100.13:55027 |Access:36                  |I| Closed client /192.168.100.13:55027
20150303112353715 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:59712 connected
20150303112607759 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53206 connected
20150303112610216 |R-192.168.100.12:53206 |Access:36                  |I| Closed client /192.168.100.12:53206
20150303112611537 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53212 connected
20150303112614848 |R-192.168.100.12:53212 |Access:36                  |I| Closed client /192.168.100.12:53212
20150303112617698 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53219 connected
20150303112620706 |R-192.168.100.12:53219 |Access:36                  |I| Closed client /192.168.100.12:53219
20150303112624569 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53226 connected
20150303112627798 |R-192.168.100.12:53226 |Access:36                  |I| Closed client /192.168.100.12:53226
20150303112940270 |R-192.168.100.13:59712 |Access:36                  |I| Closed client /192.168.100.13:59712
20150303112947365 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:36352 connected
20150303113136975 |R-192.168.100.13:36352 |Access:36                  |I| Closed client /192.168.100.13:36352
20150303113145966 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:33064 connected
20150303113223490 |R-192.168.100.13:33064 |Access:36                  |I| Closed client /192.168.100.13:33064
20150303113230426 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:59655 connected
20150303113435233 |R-192.168.100.13:59655 |Access:36                  |I| Closed client /192.168.100.13:59655
20150303113442536 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:48945 connected
20150303113522095 |R-192.168.100.13:48945 |Access:36                  |I| Closed client /192.168.100.13:48945
20150303113529245 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:49298 connected
20150303113542665 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53412 connected
20150303113748397 |R-192.168.100.12:53412 |Access:36                  |I| Closed client /192.168.100.12:53412
20150303113751109 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53454 connected
20150303113832864 |R-192.168.100.12:53454 |Access:36                  |I| Closed client /192.168.100.12:53454
20150303113835681 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53475 connected
20150303114006760 |R-192.168.100.12:53475 |Access:36                  |I| Closed client /192.168.100.12:53475
20150303114009456 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53507 connected
20150303114044298 |R-192.168.100.13:49298 |Access:36                  |I| Closed client /192.168.100.13:49298
20150303114052368 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:48040 connected
20150303114109802 |R-192.168.100.13:48040 |Access:36                  |I| Closed client /192.168.100.13:48040
20150303114111220 |R-192.168.100.12:53507 |Access:36                  |I| Closed client /192.168.100.12:53507
20150303114112322 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53535 connected
20150303114117629 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:41074 connected
20150303114128252 |R-192.168.100.12:53535 |Access:36                  |I| Closed client /192.168.100.12:53535
20150303114130898 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53555 connected
20150303115129121 |R-192.168.100.13:41074 |Access:36                  |I| Closed client /192.168.100.13:41074
20150303115135910 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:54329 connected
20150303115152110 |R-192.168.100.13:54329 |Access:36                  |I| Closed client /192.168.100.13:54329
20150303115155047 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:53085 connected
20150303115501037 |R-192.168.100.13:53085 |Access:36                  |I| Closed client /192.168.100.13:53085
20150303115508949 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.13:42481 connected
20150303120726157 |R-192.168.100.12:53555 |Access:36                  |I| Closed client /192.168.100.12:53555
20150303120728934 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:53987 connected
20150303120749366 |R-192.168.100.12:53987 |Access:36                  |I| Closed client /192.168.100.12:53987
20150303120814250 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:54016 connected
20150303120950667 |R-192.168.100.12:54016 |Access:36                  |I| Closed client /192.168.100.12:54016
20150303120956017 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:54086 connected
20150303121051188 |R-192.168.100.12:54086 |Access:36                  |I| Closed client /192.168.100.12:54086
20150303121055283 |Tcp-server-listen-thread |Access:31                  |I| Client /192.168.100.12:54104 connected
20150303121722701 |R-192.168.100.13:42481 |Access:36                  |I| Closed client /192.168.100.13:42481
